Mass Number (A),Atomic Number (Z),Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (log(s)),Q_beta- WS4 (keV),Q_beta- WS4+RBF (keV),Pairing Term,Predicted Half-Life (log(s)),Uncertainty (std dev),Lower CI (95%),Upper CI (95%)
56.0,24.0,56Cr,356.40000000000003,1.0,2.5519376953648374,655.0,1035.2000000000044,1,4.5907645,1.2130102,2.2132645,6.9682646
56.0,25.0,56Mn,9284.04,1.0,3.967737002932292,3954.100000000006,4202.399999999994,-1,3.7768276,1.2968292,1.2350423,6.318613
57.0,21.0,57Sc,0.022,1.0,-1.6575773191777938,13242.799999999996,13050.5,0,-1.2984054,0.39942813,-2.0812845,-0.51552624
57.0,22.0,57Ti,0.095,1.0,-1.0222763947111522,10375.500000000007,10466.800000000005,0,-0.68205357,0.36307865,-1.3936877,0.029580593
57.0,23.0,57V,0.35,1.0,-0.4559319556497244,7967.5999999999985,8176.4000000000015,0,0.20536584,0.4605741,-0.6973594,1.1080911
57.0,24.0,57Cr,21.1,1.0,1.3242824552976926,4665.699999999997,5107.799999999996,0,2.087901,0.8446036,0.43247807,3.7433243
57.0,25.0,57Mn,85.4,1.0,1.931457870689005,2248.5,2466.400000000001,0,4.0466332,1.1660184,1.7612371,6.3320293
58.0,21.0,58Sc,0.012,1.0,-1.9208187539523751,16651.499999999996,16484.9,-1,-1.4233241,0.41679922,-2.2402506,-0.6063976
58.0,22.0,58Ti,0.055,1.0,-1.259637310505756,8855.500000000007,8732.699999999997,1,-0.89268875,0.37438414,-1.6264817,-0.15889585
58.0,23.0,58V,0.191,1.0,-0.7189666327522725,11918.199999999995,12016.300000000005,-1,-0.43329787,0.38084272,-1.1797496,0.31315386
58.0,24.0,58Cr,7.0,1.0,0.8450980400142568,3235.5,3452.899999999994,1,2.022259,0.73152024,0.5884793,3.4560387
58.0,25.0,58Mn,3.0,1.0,0.4771212547196624,6238.9000000000015,6605.9000000000015,-1,2.1944487,0.90979904,0.4112426,3.977655
59.0,22.0,59Ti,0.0285,1.0,-1.5451551399914898,12112.899999999998,11807.3,0,-1.1556399,0.38574854,-1.911707,-0.39957273
59.0,23.0,59V,0.095,1.0,-1.0222763947111522,10534.6,10337.6,0,-0.73473865,0.36438575,-1.4489348,-0.020542562
59.0,24.0,59Cr,1.05,1.0,0.021189299069938,7244.9000000000015,7484.300000000003,0,0.47919065,0.5142194,-0.52867943,1.4870608
59.0,25.0,59Mn,4.59,1.0,0.6618126855372612,4662.199999999997,4967.099999999999,0,2.0756693,0.8412199,0.4268782,3.7244604
59.0,26.0,59Fe,3844800.0,1.0,6.584873753459825,1767.800000000003,1754.1000000000058,0,4.5026116,1.2230453,2.1054428,6.8997803
60.0,22.0,60Ti,0.0222,1.0,-1.6536470255493614,11028.7,10857.5,1,-1.3401607,0.40350288,-2.1310263,-0.54929507
60.0,24.0,60Cr,0.49,1.0,-0.3098039199714864,5982.099999999999,5969.099999999999,1,0.18060642,0.45631042,-0.71376204,1.0749749
60.0,25.0,60Mn,0.28,1.0,-0.5528419686577808,8622.399999999994,8838.799999999996,-1,0.6884511,0.578335,-0.44508547,1.8219876
60.0,26.0,60Fe,82679146120000.0,1.0,13.917395982743749,25.60000000000582,-55.799999999995634,1,5.3291636,1.3886411,2.607427,8.0509
60.0,27.0,60Co,166349179.7164,1.0,8.221020663662795,3264.4999999999927,3360.300000000003,-1,4.226684,1.411764,1.4596264,6.993742
61.0,22.0,61Ti,0.015,1.0,-1.8239087409443189,14166.700000000004,14147.4,0,-1.4210081,0.41148844,-2.2275255,-0.61449075
61.0,23.0,61V,0.0482,1.0,-1.3169529617611504,12536.099999999997,12480.399999999998,0,-1.2120426,0.3911065,-1.9786112,-0.44547385
61.0,24.0,61Cr,0.243,1.0,-0.6143937264016879,9121.4,8945.599999999999,0,-0.22022435,0.406843,-1.0176367,0.577188
61.0,25.0,61Mn,0.709,1.0,-0.1493537648169335,7293.9000000000015,7375.5,0,0.4370957,0.50671893,-0.5560734,1.4302648
