Mass Number,Atomic Number,Element,Half-Life (s),Beta Branch Ratio,Beta Partial Half-Life (s)
116,048,116Cd,8.488813094e+17,1.0,8.488813094e+17
117,042,117Mo,0.022,1.0,0.022
117,043,117Tc,0.0445,1.0,0.0445
117,044,117Ru,0.151,1.0,0.151
117,045,117Rh,0.421,1.0,0.421
117,046,117Pd,4.3,1.0,4.3
117,047,117Ag,73.6,1.0,73.6
117,048,117Cd,9010.800000000001,1.0,9010.800000000001
117,049,117In,2592.0,1.0,2592.0
118,042,118Mo,0.021,1.0,0.021
118,043,118Tc,0.03,1.0,0.03
118,044,118Ru,0.099,1.0,0.099
118,046,118Pd,1.9,1.0,1.9
118,047,118Ag,3.76,1.0,3.76
118,048,118Cd,3018.0,1.0,3018.0
119,043,119Tc,0.022,1.0,0.022
119,044,119Ru,0.0695,1.0,0.0695
119,045,119Rh,0.19,1.0,0.19
119,046,119Pd,0.92,1.0,0.92
119,048,119Cd,161.4,1.0,161.4
119,049,119In,144.0,1.0,144.0
120,043,120Tc,0.021,1.0,0.021
120,044,120Ru,0.045,1.0,0.045
120,045,120Rh,0.1296,1.0,0.1296
120,046,120Pd,0.492,1.0,0.492
120,048,120Cd,50.8,1.0,50.8
121,043,121Tc,0.022,1.0,0.022
121,044,121Ru,0.029,1.0,0.029
121,045,121Rh,0.074,1.0,0.074
121,046,121Pd,0.29,1.0,0.29
121,048,121Cd,13.5,1.0,13.5
121,049,121In,23.1,1.0,23.1
121,050,121Sn,97308.0,1.0,97308.0
122,044,122Ru,0.025,1.0,0.025
122,045,122Rh,0.051000000000000004,1.0,0.051000000000000004
122,046,122Pd,0.193,1.0,0.193
122,048,122Cd,5.24,1.0,5.24
122,051,122Sb,235336.32,0.9759,241147.986474024
